Wall time,Step,Value
1558898470.2605662,5864,0.14813008904457092
1558898497.7875597,5871,0.11063322424888611
1558898707.4800675,5898,0.10515367239713669
1558898745.8933895,5907,0.13374851644039154
1558898845.5068514,5928,0.11055760085582733
1558899040.861862,5952,0.1198161244392395
1558899059.1063974,5957,0.11834848672151566
1558899086.6384,5963,0.08348571509122849
1558899301.3551304,5990,0.08305411040782928
1558899395.5015545,6010,0.10885542631149292
1558899414.4569175,6015,0.11225275695323944
1558899529.185029,6030,0.12631843984127045
1558899575.9912837,6035,0.18272002041339874
1558899830.0422504,6078,0.11510664224624634
1558899869.3988185,6082,0.09388978779315948
1558899979.3749466,6103,0.10806749761104584
1558899988.204864,6105,0.08890694379806519
1558900088.6905003,6121,0.12128379940986633
1558900108.1309228,6123,0.09182048588991165
1558900165.800198,6129,0.09485039860010147
1558900184.9500163,6131,0.12115105241537094
1558900278.5353644,6149,0.09374828636646271
1558900447.9771721,6172,0.09888148307800293
1558900513.9651573,6181,0.11234492063522339
1558900606.3729706,6200,0.08637391775846481
1558900669.2572846,6211,0.10172206908464432
1558900689.6942134,6213,0.09747051447629929
1558900747.3403466,6219,0.11439479142427444
1558900840.8991451,6232,0.09807910770177841
1558900925.598521,6250,0.12444642186164856
1558901194.6407096,6289,0.11319591850042343
1558901381.2209246,6312,0.12155964970588684
1558901413.6601758,6316,0.10003923624753952
1558901414.0888958,6317,0.1157519593834877
1558901450.7735324,6324,0.1141756996512413
1558901528.5761762,6341,0.11802884936332703
1558901640.1419616,6352,0.14288099110126495
1558901722.9378839,6363,0.11677742749452591
1558901759.761772,6370,0.07349453866481781
1558901787.2800734,6376,0.09736331552267075
1558901967.8381083,6400,0.14258645474910736
1558902326.6558795,6455,0.12884673476219177
1558902344.8211336,6459,0.10405779629945755
1558902597.3324487,6495,0.0998903438448906
1558902605.9241405,6496,0.10825268924236298
1558902625.3016427,6500,0.10086050629615784
1558902719.3039672,6520,0.10178294032812119
1558902719.5623932,6521,0.10282682627439499
1558902730.1575303,6522,0.09944699704647064
1558902796.5117657,6530,0.07715924084186554
1558903074.4383225,6574,0.13417407870292664
1558903142.8765385,6581,0.08410018682479858
1558903176.9828231,6584,0.09985683113336563
1558903278.0265284,6603,0.07525607943534851
1558906514.9049482,6657,0.09594085812568665
1558906552.4414692,6666,0.1162724494934082
1558906560.125003,6668,0.06871300935745239
1558906575.8585887,6672,0.08540751785039902
1558906597.960732,6678,0.12380663305521011
1558906606.9047322,6681,0.1160365641117096
1558906637.3075042,6688,0.09991108626127243
1558906671.0887504,6696,0.0988258346915245
1558906678.675308,6699,0.13619191944599152
1558906725.8134859,6711,0.08780290186405182
1558906831.2142801,6738,0.11665738373994827
1558906846.1880724,6742,0.11872696131467819
1558906884.132493,6753,0.09500539302825928
1558906928.3318667,6764,0.10575708001852036
1558907186.5685256,6832,0.10579792410135269
1558907239.461144,6846,0.09207377582788467
1558907270.017748,6854,0.10322592407464981
1558907325.1020758,6868,0.12063416838645935
1558907325.4028122,6869,0.10362353175878525
1558907427.56453,6895,0.12304745614528656
1558907480.282021,6909,0.13541536033153534
1558907579.0446444,6934,0.10443420708179474
1558907685.9286497,6963,0.08823072165250778
1558907700.7182548,6966,0.10495608299970627
1558907797.2752497,6992,0.09966227412223816
1558907865.7548456,7010,0.09623581171035767
1558907880.032244,7014,0.09350867569446564
1558907971.761231,7039,0.10235097259283066
1558908074.5910237,7065,0.12683801352977753
1558908176.4405222,7091,0.09839681535959244
1558908237.0398264,7106,0.0987076461315155
1558908268.2398686,7114,0.11251702904701233
1558908268.564045,7115,0.1182478666305542
1558908354.9108684,7137,0.0998818427324295
1558908369.7264056,7141,0.10460483282804489
1558908423.474672,7155,0.09430301189422607
1558908576.6927495,7195,0.1193668320775032
1558908615.1260262,7204,0.15416587889194489
1558908662.4339986,7216,0.11463655531406403
1558908733.080295,7235,0.08807902783155441
1558908748.2011638,7238,0.10893110930919647
1558908778.1807702,7247,0.11880075931549072
1558908927.1223392,7284,0.11750108003616333
1558908988.5150225,7300,0.1259511262178421
1558909028.0358877,7311,0.07509977370500565
1558909101.4200788,7329,0.08263926953077316
1558909141.2872696,7339,0.08650524914264679
1558909148.9982762,7340,0.11727987974882126
1558909219.9088542,7358,0.11002998799085617
1558909220.0980153,7359,0.13137786090373993
1558909315.1587946,7382,0.1152590736746788
1558909330.558423,7386,0.10022438317537308
1558909386.145118,7401,0.10572546720504761
1558909503.6051126,7431,0.07815060764551163
1558909539.9041786,7440,0.08510516583919525
1558909549.9771223,7443,0.09338604658842087
1558909579.2859957,7450,0.11087063699960709
1558909617.3982294,7460,0.09578452259302139
1558909625.4649234,7463,0.0731719508767128
1558909648.6850448,7468,0.10298233479261398
1558909687.5777712,7478,0.07377967983484268
1558909780.4455547,7502,0.12894010543823242
1558909813.0774431,7511,0.08439520001411438
1558909893.9000123,7530,0.09693064540624619
1558909958.5360653,7547,0.10068296641111374
1558910202.418871,7609,0.12434849143028259
1558910343.9375923,7644,0.08382582664489746
1558910410.3782609,7661,0.12721103429794312
1558910449.5297832,7671,0.09847771376371384
1558910473.676449,7676,0.08710920065641403
1558910511.7632003,7687,0.12101757526397705
1558910535.279013,7693,0.08586026728153229
1558910566.560433,7700,0.10434045642614365
1558910636.2548475,7718,0.06709951907396317
1558910653.571333,7723,0.090969517827034
1558910676.1149373,7728,0.10732690989971161
1558910748.5775156,7746,0.08582324534654617
1558910787.7332864,7757,0.09033842384815216
1558910803.1658757,7760,0.11040090769529343
1558910882.399046,7780,0.11984933167695999
1558910915.213902,7788,0.09275929629802704
1558910954.7055933,7798,0.10880818963050842
1558911001.3222592,7810,0.08385460078716278
1558911087.0167198,7833,0.10650813579559326
1558911110.221582,7838,0.15090343356132507
1558911342.247646,7899,0.14091524481773376
1558911349.9025152,7900,0.09050152450799942
1558911473.9167252,7932,0.0844968929886818
1558911639.5539503,7975,0.14074485003948212
1558911672.2963722,7983,0.11015215516090393
1558911705.619239,7991,0.07189875841140747
1558911713.2969012,7992,0.07928731292486191
1558911851.0489297,8026,0.09312712401151657
1558911892.8617218,8037,0.08909641206264496
1558911939.3767152,8049,0.09305077791213989
1558912010.9596748,8066,0.15615171194076538
1558912253.496299,8126,0.12863922119140625
1558912350.5315218,8150,0.08156327158212662
1558912472.551673,8180,0.14565330743789673
1558912488.718324,8184,0.10515175759792328
1558912544.0705817,8198,0.10515855997800827
1558912608.9050045,8215,0.10988109558820724
1558912632.8125727,8221,0.0806770920753479
1558912801.0753088,8263,0.09914886951446533
1558912865.142288,8279,0.1117176041007042
1558912912.587608,8290,0.09882907569408417
1558912944.3629127,8299,0.08296015858650208
1558912976.324601,8307,0.12668739259243011
1558913055.0324411,8327,0.10579303652048111
1558913063.2498808,8329,0.12282189726829529
1558913078.4449477,8332,0.11738070845603943
1558913086.6062381,8334,0.09812652319669724
1558913111.1396217,8340,0.11340847611427307
1558913191.1813002,8360,0.11596451699733734
1558913199.571637,8363,0.09390758723020554
1558913222.6042826,8368,0.1272057294845581
1558913254.5541754,8377,0.07949074357748032
1558913547.3471456,8447,0.14653337001800537
1558913626.9464214,8467,0.12280366569757462
1558913634.5771754,8468,0.13306620717048645
1558913642.5491447,8470,0.13437508046627045
1558913698.898804,8484,0.11425190418958664
1558913714.1730764,8488,0.09993802756071091
1558913747.3350527,8497,0.11068572103977203
1558913755.557944,8498,0.09843457490205765
1558913772.225891,8503,0.10483156889677048
1558913795.8142908,8508,0.14711330831050873
1558913852.1022449,8523,0.1209133043885231
1558913981.2985792,8554,0.09386051446199417
1558914030.415821,8566,0.1522335559129715
1558914055.1090174,8573,0.12228124588727951
1558914079.281259,8578,0.15711915493011475
1558914134.485663,8592,0.0968334749341011
1558914167.3018403,8601,0.15231692790985107
1558914272.2265925,8627,0.06925023347139359
1558914304.1115823,8634,0.0869414284825325
1558914304.4626453,8635,0.10559216141700745
1558914343.4002666,8644,0.1292986124753952
1558914495.478299,8682,0.12097162008285522
1558914526.875953,8690,0.06789993494749069
1558914527.134303,8691,0.10118238627910614
1558914543.5380955,8695,0.11760425567626953
1558914670.8106933,8727,0.11418601870536804
1558914863.7244565,8774,0.06337183713912964
1558914879.4769397,8778,0.10119921714067459
1558914950.7254138,8796,0.09357500076293945
1558914967.46264,8801,0.10530559718608856
1558915039.8753128,8819,0.09694848209619522
1558915056.5156918,8822,0.06460995227098465
1558915135.4527366,8843,0.08795313537120819
1558915185.7998703,8854,0.10347869992256165
1558915298.0679753,8878,0.09128913283348083
1558915323.0999029,8885,0.09527929127216339
1558915400.0675693,8902,0.11237277835607529
1558915408.203759,8904,0.09431391954421997
1558915416.5928233,8907,0.11737325042486191
1558915507.9764893,8928,0.09882129728794098
1558915516.4595914,8930,0.0883091613650322
1558915534.2950377,8935,0.1084485575556755
1558915584.442153,8946,0.10630146414041519
1558915634.886858,8958,0.09767137467861176
1558915701.9599109,8975,0.0902106910943985
1558915779.5216641,8993,0.0735488161444664
1558915806.13654,8999,0.08997330814599991
1558915831.1085315,9004,0.09658529609441757
1558915848.2512891,9009,0.09998765587806702
1558915924.7200446,9027,0.1255081444978714
1558915932.984492,9028,0.10033434629440308
1558916060.66002,9055,0.08361683785915375
1558916093.855999,9063,0.14165504276752472
1558916135.8401377,9073,0.09381216764450073
1558916178.746995,9084,0.10519424080848694
1558916271.1983662,9105,0.11905469000339508
1558916346.8399749,9123,0.08391710370779037
1558916481.936088,9155,0.08082005381584167
1558916482.1528444,9156,0.11799420416355133
1558916507.317853,9162,0.12626849114894867
1558916725.4587934,9214,0.10427942872047424
1558916733.7988794,9216,0.12500852346420288
1558916776.3208907,9226,0.1266900599002838
1558916809.818631,9233,0.10689537972211838
1558916920.5012543,9260,0.08835630863904953
1558917011.864588,9281,0.11016510426998138
1558917054.285868,9291,0.12783493101596832
1558917122.35993,9307,0.10952562838792801
1558917130.7207341,9309,0.12189310044050217
1558917155.9348655,9316,0.10855323821306229
1558917289.2031884,9348,0.07391197234392166
1558917314.742022,9353,0.09015744179487228
1558917355.8919916,9364,0.09135789424180984
1558917381.261294,9369,0.13685734570026398
1558917560.616743,9412,0.09966772794723511
1558917577.1864178,9415,0.09936541318893433
1558917662.4486876,9435,0.13620702922344208
1558917688.0287342,9441,0.11406847089529037
1558917688.2815328,9442,0.09372225403785706
1558917803.203905,9468,0.1294945478439331
1558917836.3197975,9475,0.0855630412697792
1558918095.243823,9537,0.10757049918174744
1558918095.403526,9538,0.11783622205257416
1558918136.3356574,9547,0.0878014788031578
1558918162.06189,9554,0.06145211681723595
1558918178.2424054,9557,0.09250400215387344
1558918203.2514162,9564,0.09086871147155762
1558918220.3774343,9567,0.07491214573383331
1558918312.2487729,9589,0.10784798860549927
1558918354.1807241,9600,0.11502740532159805
1558918407.6504216,9611,0.09087681770324707
1558918458.4437811,9623,0.09547901153564453
1558918458.7061808,9624,0.11301872879266739
1558918474.9819088,9627,0.11430296301841736
1558918575.2795503,9651,0.11521260440349579
1558918600.1784794,9657,0.1436706781387329
1558918692.3856158,9680,0.09568765014410019
1558918733.574354,9690,0.12193088233470917
1558918767.2732487,9698,0.1473555713891983
1558918819.227294,9710,0.09728969633579254
1558919034.5767426,9759,0.1077256128191948
1558919034.8622346,9760,0.16987060010433197
1558919070.1156223,9768,0.11450637131929398
1558919112.6985075,9777,0.34252244234085083
1558919264.5884154,9812,0.08963602036237717
1558919387.3305476,9840,0.10172311216592789
1558919404.744602,9843,0.0758155956864357
1558919579.623033,9883,0.12446222454309464
1558919682.7019556,9907,0.097523532807827
1558919727.4076366,9917,0.10429830104112625
1558919960.3690028,9972,0.08980271220207214
1558920023.4965346,9985,0.13758090138435364
1558920067.5453558,9996,0.09693492949008942
1558920145.715656,10014,0.1199273020029068
1558920297.9724345,10050,0.08009494096040726
1558920323.4050028,10055,0.05138849467039108
1558920323.6385796,10056,0.12818340957164764
1558920332.130348,10058,0.09246484935283661
1558920391.8853486,10072,0.10910451412200928
1558920443.1850703,10084,0.10363727062940598
1558920546.1890614,10107,0.13977454602718353
1558920572.2481968,10113,0.15093383193016052
1558920631.9719594,10128,0.07604517787694931
1558920659.0564613,10134,0.0987822562456131
1558920701.7905657,10144,0.10630254447460175
1558920804.7438078,10168,0.10518315434455872
1558920882.95192,10185,0.10908070206642151
1558920979.8358808,10207,0.07917456328868866
1558921109.8705986,10238,0.09449408203363419
1558921144.7917674,10245,0.08662999421358109
1558921153.3651257,10248,0.07385328412055969
1558921188.0358105,10256,0.10495521128177643
1558921257.284183,10272,0.11115831881761551
1558921275.249806,10276,0.10708551853895187
1558921308.9688845,10283,0.10851269215345383
1558921326.3826916,10288,0.1093049868941307
1558921482.670018,10323,0.12910659611225128
1558921521.0114582,10330,0.13456448912620544
1558921588.545595,10346,0.09148899465799332
1558921674.066698,10366,0.10878879576921463
1558921823.6432672,10394,0.1000138521194458
1558921832.3647892,10396,0.12177327275276184
1558921840.794736,10397,0.12861615419387817
1558921849.1749012,10399,0.1265520304441452
1558921874.79444,10405,0.08359265327453613
1558921910.7078805,10414,0.08562912791967392
1558921936.6887288,10420,0.07277557998895645
1558921961.7958753,10425,0.10823367536067963
1558922124.8189561,10454,0.1076936200261116
1558922186.249513,10468,0.10409516096115112
1558922237.6032825,10479,0.1416197419166565
1558922279.032417,10489,0.0966084823012352
1558922295.0819004,10493,0.0902240127325058
1558922295.4454577,10494,0.11591394990682602
1558922463.8660069,10522,0.08830845355987549
1558922508.3837123,10531,0.09381051361560822
1558922543.6930985,10539,0.09195335954427719
1558922607.381406,10554,0.09666628390550613
1558922618.6152208,10555,0.1275157928466797
1558922718.0137627,10567,0.0918440893292427
1558922849.8137941,10598,0.15569840371608734
1558922895.24067,10607,0.08329682052135468
1558923001.7762225,10620,0.09316795319318771
1558923018.3297236,10624,0.1094992458820343
1558923044.2794697,10629,0.09212590754032135
1558923080.7279603,10638,0.11285685002803802
1558923116.4245217,10646,0.07750234752893448
1558923150.8561528,10653,0.09573516249656677
1558923151.094478,10654,0.09720027446746826
1558923262.0151172,10671,0.09866060316562653
1558923417.225092,10701,0.06935067474842072
